iter	Passed	Remaining
0	138	138628
1	140	70285
2	143	47570
3	144	36051
4	147	29272
5	148	24634
6	150	21288
7	151	18785
8	152	16804
9	153	15220
10	155	13946
11	156	12855
12	157	11930
13	157	11125
14	159	10441
15	160	9890
16	162	9367
17	163	8900
18	164	8477
19	165	8103
20	166	7756
21	167	7442
22	168	7157
23	169	6885
24	170	6642
25	171	6410
26	172	6204
27	173	6006
28	174	5831
29	175	5669
30	176	5516
31	177	5372
32	178	5238
33	179	5109
34	180	4989
35	182	4874
36	183	4765
37	184	4665
38	185	4565
39	186	4466
40	187	4376
41	188	4294
42	189	4218
43	190	4141
44	191	4066
45	192	3993
46	193	3927
47	194	3866
48	196	3805
49	196	3741
50	197	3682
51	199	3628
52	200	3575
53	201	3521
54	201	3470
55	203	3425
56	204	3376
57	205	3333
58	206	3289
59	207	3245
60	208	3202
61	209	3164
62	210	3129
63	211	3091
64	212	3055
65	213	3019
66	214	2986
67	215	2951
68	216	2918
69	217	2886
70	218	2857
71	219	2826
72	220	2797
73	221	2767
74	222	2740
75	223	2713
76	224	2687
77	225	2662
78	226	2637
79	227	2612
80	228	2589
81	229	2565
82	229	2537
83	230	2514
84	231	2491
85	232	2472
86	233	2450
87	234	2434
88	236	2415
89	236	2395
90	237	2376
91	239	2358
92	240	2341
93	241	2326
94	242	2310
95	243	2293
96	244	2277
97	245	2263
98	247	2251
99	248	2238
100	249	2223
101	250	2209
102	252	2194
103	252	2179
104	253	2164
105	255	2151
106	257	2149
107	258	2135
108	259	2122
109	260	2108
110	261	2094
111	262	2083
112	263	2071
113	265	2059
114	266	2047
115	266	2034
116	267	2020
117	268	2009
118	270	1999
119	271	1989
120	272	1977
121	273	1964
122	273	1953
123	274	1942
124	275	1931
125	277	1921
126	277	1910
127	278	1900
128	279	1890
129	280	1879
130	281	1869
131	282	1858
132	283	1849
133	284	1841
134	285	1831
135	286	1822
136	287	1813
137	289	1805
138	289	1795
139	290	1786
140	291	1776
141	292	1767
142	293	1760
143	295	1754
144	296	1745
145	297	1737
146	298	1729
147	299	1722
148	300	1717
149	301	1711
150	302	1703
151	303	1695
152	304	1688
153	306	1682
154	307	1675
155	308	1668
156	309	1661
157	310	1653
158	311	1646
159	312	1639
160	312	1631
161	313	1624
162	314	1616
163	315	1610
164	316	1603
165	318	1597
166	318	1591
167	319	1584
168	320	1577
169	322	1572
170	323	1566
171	324	1560
172	324	1553
173	325	1547
174	326	1540
175	327	1534
176	328	1529
177	330	1524
178	331	1518
179	332	1513
180	333	1507
181	334	1501
182	335	1495
183	336	1490
184	337	1484
185	338	1479
186	339	1474
187	340	1469
188	341	1464
189	342	1459
190	343	1453
191	344	1449
192	345	1444
193	346	1439
194	347	1434
195	348	1430
196	349	1425
197	350	1419
198	351	1414
199	352	1410
200	353	1405
201	354	1400
202	355	1395
203	356	1390
204	357	1385
205	358	1380
206	359	1377
207	360	1373
208	361	1369
209	362	1365
210	363	1360
211	364	1356
212	365	1351
213	366	1347
214	367	1343
215	368	1339
216	369	1334
217	370	1330
218	371	1325
219	372	1321
220	373	1317
221	374	1313
222	375	1309
223	376	1304
224	377	1300
225	378	1295
226	379	1291
227	379	1286
228	380	1282
229	382	1279
230	383	1275
231	384	1271
232	385	1267
233	386	1263
234	387	1259
235	388	1256
236	389	1252
237	389	1248
238	390	1244
239	391	1240
240	392	1236
241	393	1232
242	394	1228
243	395	1224
244	396	1220
245	397	1217
246	398	1213
247	399	1210
248	400	1206
249	400	1202
250	401	1198
251	402	1195
252	403	1192
253	404	1189
254	405	1185
255	406	1182
256	407	1178
257	408	1174
258	409	1171
259	410	1167
260	411	1163
261	412	1161
262	413	1157
263	414	1154
264	414	1150
265	415	1147
266	416	1143
267	417	1141
268	418	1138
269	419	1135
270	420	1131
271	421	1129
272	422	1126
273	423	1122
274	424	1119
275	425	1115
276	426	1113
277	427	1111
278	428	1108
279	429	1105
280	430	1102
281	431	1098
282	432	1095
283	433	1092
284	434	1089
285	435	1086
286	435	1082
287	436	1079
288	437	1077
289	438	1074
290	439	1071
291	440	1068
292	441	1066
293	442	1063
294	443	1060
295	444	1057
296	445	1054
297	446	1051
298	447	1048
299	448	1046
300	449	1043
301	450	1040
302	451	1037
303	451	1034
304	452	1032
305	453	1029
306	454	1026
307	455	1023
308	456	1021
309	457	1019
310	458	1016
311	459	1013
312	460	1011
313	461	1008
314	462	1006
315	463	1003
316	464	1000
317	465	997
318	466	995
319	466	992
320	467	989
321	468	986
322	469	983
323	470	981
324	471	978
325	472	976
326	473	974
327	474	972
328	475	969
329	476	966
330	477	964
331	478	962
332	479	959
333	480	957
334	480	954
335	481	952
336	482	950
337	483	947
338	484	945
339	485	942
340	486	940
341	487	938
342	488	935
343	489	933
344	490	930
345	491	928
346	491	925
347	492	923
348	493	921
349	494	918
350	495	915
351	496	913
352	497	911
353	498	908
354	499	906
355	499	904
356	500	901
357	501	899
358	502	897
359	503	895
360	504	892
361	505	890
362	505	887
363	506	885
364	507	882
365	508	880
366	509	878
367	510	876
368	511	874
369	512	873
370	513	871
371	514	868
372	515	867
373	517	865
374	518	863
375	519	861
376	520	859
377	521	857
378	522	855
379	523	854
380	524	852
381	525	850
382	526	848
383	527	846
384	528	844
385	529	842
386	530	840
387	531	838
388	532	836
389	533	834
390	534	832
391	535	830
392	536	828
393	537	827
394	538	825
395	539	823
396	540	821
397	541	819
398	542	817
399	543	815
400	544	813
401	545	811
402	546	809
403	547	808
404	548	806
405	549	804
406	550	802
407	551	800
408	552	798
409	553	796
410	554	794
411	555	792
412	556	790
413	557	788
414	558	786
415	558	784
416	559	782
417	560	780
418	561	778
419	562	777
420	564	775
421	565	773
422	566	772
423	567	770
424	568	768
425	569	766
426	570	765
427	570	763
428	571	761
429	572	758
430	573	756
431	574	754
432	574	752
433	575	750
434	576	749
435	578	747
436	579	745
437	580	744
438	581	742
439	581	740
440	582	738
441	583	736
442	584	734
443	585	733
444	586	731
445	587	729
446	588	727
447	589	725
448	589	723
449	590	722
450	591	720
451	592	718
452	593	717
453	594	715
454	595	713
455	596	711
456	597	709
457	598	707
458	599	706
459	600	704
460	600	702
461	601	700
462	602	699
463	603	697
464	604	695
465	605	693
466	606	692
467	607	690
468	608	689
469	609	687
470	610	685
471	611	684
472	612	682
473	613	680
474	614	678
475	614	676
476	615	675
